7551,9,11,74
7530.4,5,-20.6,75
7533.6,3,3.2,76
7533.2,3,-0.4,79
7586.4,25,53.2,94
7556.8,7,-29.6,91
7546,6,-10.8,89
7573,13,27,99
7557.4,3,-15.6,101
7579.8,6,22.4,102
7579.4,4,-0.4,102
7594.8,5,15.4,104
7588.4,3,-6.4,105
7598.4,1,10,105
7596.4,3,-2,105
7612.8,9,16.4,106
7645.2,10,32.4,109
7602.4,5,-42.8,110
7604.6,3,2.2,111
7600.8,12,-3.8,120
7600,4,-0.8,120
7592.2,3,-7.8,120
7601.8,2,9.6,122
7524,24,-77.8,117
7583.6,9,59.6,117
7590,4,6.4,119
7599,4,9,119
7599,0,0,119
7595,7,-4,122
7607.4,8,12.4,123
7599.6,3,-7.8,120
7599.6,0,0,120
7600,4,0.4,122
7603.6,3,3.6,125
7616.2,1,12.6,124
7616.2,0,0,124
7649,9,32.8,125
7645.8,3,-3.2,125
7673.6,5,27.8,128
7684.4,1,10.8,127
7688.6,3,4.2,128
7669.4,3,-19.2,128
7679.4,3,10,128
7689.4,2,10,129
7689.4,0,0,129
7699,5,9.6,132
7715.8,7,16.8,134
7715.8,0,0,134
7713.2,5,-2.6,138
7743.2,6,30,140
7710,2,-33.2,139
7697,4,-13,140
7696.8,6,-0.2,144
7693.6,2,-3.2,146
7700.4,2,6.8,147
7700.4,0,0,147
7697.4,12,-3,147
7697.2,4,-0.2,146
7692.2,1,-5,147
7692.2,1,0,148
7687.8,6,-4.4,150
7691,5,3.2,154
7697.2,9,6.2,157
7710.6,17,13.4,167
7710.6,0,0,167
7710.6,0,0,167
7708.6,2,-2,165
7739,9,30.4,169
7750,5,11,166
7750,0,0,166
7750,0,0,166
7762,5,12,171
7762,0,0,171
7762.8,3,0.8,172
7762.8,0,0,172
7759.8,1,-3,171
7759.8,0,0,171
7731.8,2,-28,172
7731.8,0,0,172
7750.6,1,18.8,171
7750.6,0,0,171
7750.6,0,0,171
7750.6,0,0,171
7750,2,-0.6,173
7750,0,0,173
7726.6,11,-23.4,173
7721,1,-5.6,172
7721,0,0,172
7721,0,0,172
7721,0,0,172
7752,1,31,172
7742,5,-10,172
7742,2,0,174
7742,0,0,174
7742,0,0,174
7742,0,0,174
7720.2,5,-21.8,172
7710.2,6,-10,172
7720,1,9.8,173
7705.6,1,-14.4,174
7727.4,1,21.8,173
7729.8,1,2.4,173
7729.8,0,0,173
7729.8,0,0,173
7740,2,10.2,173
7740,0,0,173
7738.4,1,-1.6,172
7720.6,1,-17.8,171
7720.6,0,0,171
7720.6,0,0,171
