3158,5,0,99
3157,1,-1,99
3150.4,10,-6.6,106
3148.2,8,-2.2,113
3162,5,13.8,114
3179.6,3,17.6,116
3179,3,-0.6,115
3197.8,2,18.8,117
3197.8,0,0,117
3193.4,3,-4.4,119
3185,2,-8.4,119
3176,3,-9,118
3176,0,0,118
3189,4,13,119
3194,8,5,125
3202.8,3,8.8,126
3200,3,-2.8,128
3202.2,2,2.2,130
3206.4,3,4.2,132
3203.6,7,-2.8,137
3203.6,0,0,137
3200,3,-3.6,139
3200,0,0,139
3180.4,4,-19.6,139
3180,1,-0.4,139
3180,0,0,139
3180,0,0,139
3195.2,5,15.2,142
3183.2,1,-12,142
3183,1,-0.2,143
3183,0,0,143
3183,0,0,143
3180.8,1,-2.2,142
3181.4,2,0.6,142
3185.4,2,4,143
3193,6,7.6,145
3193,0,0,145
3189.2,1,-3.8,145
3189.2,0,0,145
3189.2,0,0,145
3188,2,-1.2,146
3188,0,0,146
3183.4,2,-4.6,146
3187.6,4,4.2,148
3187.6,0,0,148
3189.2,3,1.6,150
3189.2,0,0,150
3189.2,0,0,150
3190.4,1,1.2,150
3190.2,3,-0.2,150
3186.8,7,-3.4,150
3186.8,0,0,150
3183,11,-3.8,155
3180,9,-3,155
3189.8,11,9.8,155
3189.8,0,0,155
3195,2,5.2,153
3195,0,0,153
3188.2,1,-6.8,152
3188.2,0,0,152
3188.2,0,0,152
3180,4,-8.2,151
3180,0,0,151
3188.2,2,8.2,149
3188.2,0,0,149
3184.4,1,-3.8,149
3184.4,0,0,149
3193.8,1,9.4,149
3195.6,1,1.8,150
3195.6,0,0,150
3195.6,0,0,150
3187.2,1,-8.4,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3187.2,0,0,149
3196,3,8.8,147
3199.8,1,3.8,147
3195.4,2,-4.4,149
3193.8,7,-1.6,143
3194.2,1,0.4,144
3194.2,0,0,144
3194.2,0,0,144
3194.2,0,0,144
3194.2,0,0,144
3199.4,2,5.2,146
3199.4,0,0,146
3199.4,0,0,146
