7507.8,43,-2.6,309
7505.6,24,-2.2,311
7510.4,36,4.8,323
7508.8,16,-1.6,334
7510.8,13,2,332
7509,59,-1.8,337
7511.4,19,2.4,339
7552.8,74,41.4,352
7553.8,21,1,348
7536.4,21,-17.4,355
7550.6,16,14.2,370
7563,39,12.4,388
7571.8,28,8.8,401
7561.8,30,-10,405
7570,22,8.2,418
7577.8,37,7.8,440
7595.4,77,17.6,468
7584.2,49,-11.2,473
7591.4,17,7.2,483
7579.2,26,-12.2,478
7570.6,15,-8.6,474
7568.6,14,-2,476
7572.6,25,4,486
7564.8,11,-7.8,488
7567.8,23,3,490
7568.2,8,0.4,492
7584,32,15.8,497
7574.2,33,-9.8,498
7580,15,5.8,500
7585.2,14,5.2,497
7578.2,11,-7,496
7578,6,-0.2,497
7584,7,6,499
7594,18,10,501
7583.6,10,-10.4,500
7605,19,21.4,491
7630,48,25,488
7630,67,0,517
7642.2,29,12.2,518
7683.2,61,41,495
7668,60,-15.2,474
7654.4,9,-13.6,477
7651.6,15,-2.8,478
7657.8,20,6.2,483
7673.2,22,15.4,492
7672.8,15,-0.4,494
7696,38,23.2,517
7692,35,-4,501
7699.8,18,7.8,506
7708,56,8.2,526
7689.6,22,-18.4,528
7684.8,33,-4.8,537
7681,9,-3.8,534
7675.6,36,-5.4,549
7690,28,14.4,554
7691.2,24,1.2,559
7684.6,31,-6.6,578
7672.4,21,-12.2,589
7682.6,53,10.2,576
7670.6,4,-12,576
7682.6,49,12,612
7662.8,24,-19.8,621
7680,12,17.2,627
7694.2,43,14.2,646
7689.4,11,-4.8,649
7690,11,0.6,657
7689.8,3,-0.2,657
7717,20,27.2,662
7719.8,18,2.8,658
7733.6,20,13.8,661
7723.8,15,-9.8,663
7757,26,33.2,671
7747.4,26,-9.6,667
7739.8,7,-7.6,667
7740,9,0.2,668
7730.8,10,-9.2,667
7717.6,14,-13.2,666
7713.6,51,-4,670
7722.8,11,9.2,676
7722,3,-0.8,675
7727,11,5,678
7720.6,4,-6.4,677
7717.2,17,-3.4,681
7716,3,-1.2,682
7720,10,4,688
7701.4,18,-18.6,681
7709,4,7.6,683
7716.6,13,7.6,695
7717.6,6,1,695
7719,8,1.4,697
7730,7,11,700
7722.6,13,-7.4,705
7708.4,9,-14.2,703
7714,13,5.6,709
7712.6,4,-1.4,709
7724.6,9,12,715
7697,33,-27.6,711
7703,6,6,713
7699.6,8,-3.4,715
7705,7,5.4,716
7705,4,0,718
7706,5,1,718
7709.2,3,3.2,719
7723.2,27,14,724
7716.8,17,-6.4,730
7711,8,-5.8,733
7705.2,8,-5.8,739
7696.2,6,-9,738
7701.6,17,5.4,736
7707.6,7,6,733
7703.4,11,-4.2,734
7721,8,17.6,727
7713.8,10,-7.2,723
7729.6,25,15.8,730
7700.8,49,-28.8,748
7687,21,-13.8,755
7693,41,6,728
7668.2,18,-24.8,726
7680.8,11,12.6,724
7691.8,6,11,720
7682.4,16,-9.4,718
7683.6,8,1.2,722
7674.8,19,-8.8,720
7693.2,8,18.4,721
7690.2,8,-3,723
7688.8,11,-1.4,723
7686,1,-2.8,723
7678.8,7,-7.2,725
7674,10,-4.8,723
7678,5,4,722
7664.2,16,-13.8,724
7671.8,5,7.6,725
7681.6,9,9.8,722
7671.8,9,-9.8,722
7678.6,5,6.8,722
7684.6,7,6,725
7686,18,1.4,730
7680,8,-6,732
7690,9,10,736
7681.4,8,-8.6,736
7672.8,8,-8.6,736
7671,10,-1.8,735
7678.6,8,7.6,738
7681.8,3,3.2,738
7675.8,3,-6,739
7674.4,11,-1.4,742
7673.2,3,-1.2,744
7693,23,19.8,747
7695.4,5,2.4,749
7693.8,3,-1.6,748
7681.6,9,-12.2,746
7686.8,8,5.2,747
7682,2,-4.8,746
7683.2,1,1.2,747
7694.2,10,11,749
7689.2,8,-5,749
7688.2,6,-1,753
7683,9,-5.2,760
7680.2,6,-2.8,758
7675.6,11,-4.6,761
7684.8,13,9.2,769
7683,9,-1.8,770
7690,12,7,768
7688.8,1,-1.2,767
7687.4,7,-1.4,769
7687.4,2,0,770
7685,6,-2.4,770
7686.2,1,1.2,771
7686.2,5,0,770
7682.8,1,-3.4,771
7680.8,5,-2,774
7683.8,12,3,771
7677,6,-6.8,773
7668.8,20,-8.2,774
7678.4,13,9.6,777
7673.6,11,-4.8,778
7676.6,4,3,781
7666.8,9,-9.8,780
7657.8,31,-9,778
7659.2,17,1.4,781
7674.8,12,15.6,779
7676.8,3,2,780
7671,17,-5.8,786
7674.4,10,3.4,789
7670.6,7,-3.8,793
7667.6,3,-3,796
7669.2,21,1.6,802
7674.4,27,5.2,806
7666.6,6,-7.8,810
7646.6,20,-20,809
7641,15,-5.6,812
7626.4,9,-14.6,814
7629,9,2.6,813
7615.4,13,-13.6,814
7577.8,53,-37.6,813
7585.2,83,7.4,802
7581,17,-4.2,792
7548.2,55,-32.8,767
7553.6,46,5.4,756
7582.2,39,28.6,752
7572.8,26,-9.4,758
7585.2,9,12.4,760
7574.6,21,-10.6,751
7574,5,-0.6,752
7562.4,13,-11.6,758
7572.8,23,10.4,761
7572.4,6,-0.4,764
7565.6,32,-6.8,776
7578.6,44,13,792
7578.4,11,-0.2,790
7609,28,30.6,790
