3036.7,3.4582e+08,-9.1159
3049,1.7761e+08,12.265
3055.5,1.8832e+08,6.5451
3067.3,1.7705e+08,11.719
3072.9,1.4125e+08,5.6514
3072.7,1.4688e+08,-0.1976
3075.7,1.1719e+08,2.9907
3076.1,1.3234e+08,0.3757
3072.5,1.4282e+08,-3.5653
3070.3,1.1651e+08,-2.1996
3069.4,1.0994e+08,-0.9503
3073.7,9.4406e+07,4.3377
3081.6,1.0509e+08,7.9026
3087.2,9.3736e+07,5.545
3091.5,1.2032e+08,4.3811
3092.2,9.9969e+07,0.6822
3094.2,9.7269e+07,1.9439
3090.9,1.1208e+08,-3.2331
3094.3,1.0211e+08,3.3326
3091.3,8.2904e+07,-3.0028
3087.1,8.4181e+07,-4.2033
3081.6,8.8913e+07,-5.4716
3078.2,8.4036e+07,-3.4244
3073.3,8.1072e+07,-4.8312
3076.8,1.0056e+08,3.49
3079.7,5.7156e+07,2.8503
3083.4,5.7336e+07,3.7103
3086.4,5.7523e+07,3.0062
3086.5,6.9286e+07,0.146
3083.2,6.56e+07,-3.314
3080.2,6.5874e+07,-3.0413
3077.8,6.9131e+07,-2.3402
3082.2,6.9109e+07,4.3809
3086.4,6.3558e+07,4.2221
3088.7,7.4077e+07,2.2981
3089.6,6.2798e+07,0.8737
3091,5.9799e+07,1.3478
3093.2,6.2405e+07,2.2741
3094.7,7.1924e+07,1.4224
3095.7,7.1522e+07,0.9968
3095,7.1827e+07,-0.6106
3091,6.7243e+07,-4.0211
3088.3,7.4515e+07,-2.6831
3087.4,8.7093e+07,-0.9041
3089.7,5.0377e+07,2.3103
3098.7,6.4727e+07,8.9937
3099.7,4.9185e+07,0.9487
3102.4,6.2014e+07,2.7481
3104.8,5.8095e+07,2.3721
3101.7,6.6328e+07,-3.1522
3097.2,6.2306e+07,-4.4924
3094.2,5.729e+07,-2.9878
3093,5.0134e+07,-1.1544
3090.2,5.299e+07,-2.8303
3098.1,8.4593e+07,7.905
